dag,algo,kind,label,seed,app_timeout_rate,task_timeout_rate,energy,delay_succ,delay_all,E_succ,E_all,UtilityScore_succ,UtilityScore_all,score,runtime_min,inference_time_ms,D_all_src,has_reeval,src_dir,mtime
chain,fwdonly,ablation,fwdonly,5,0.0933333333333333,0.737,0.2055303718677058,1.4935381554636786,1.4767987437826382,0.2055724024499211,0.2055724024499211,0.2568191048064779,0.2581821404492012,16.668201488209725,37.38,5.058507099227705,result.json,False,ablation_classic_chain_20260819_022418,2026-08-19 07:15
chain,fwdonly,ablation,fwdonly,7,0.0333333333333333,0.6183333333333333,0.1967493167141826,1.2194131045049166,1.2085933894778569,0.1967687413416902,0.1967687413416902,0.5843352779124406,0.5849563319301826,1.2967595447075624,32.74,4.1999594973013545,result_reeval.json,True,ablation_classic_chain_20260608_114124,2026-06-09 19:45
chain,fwdonly,ablation,fwdonly,9,0.0666666666666666,0.6953333333333334,0.1838416696143427,1.2980873621110471,1.2792345490014272,0.1838598239258063,0.1838598239258063,0.3924456235629244,0.3938356461250081,3.7057723401316207,95.63,13.381587928510386,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 19:46
chain,fwdonly,ablation,fwdonly,11,0.08,0.734,0.2107600924856274,1.4795701405187305,1.4385141818920262,0.2107489529535191,0.2107489529535191,0.3735656272647412,0.3766423024786905,8.813137781831191,91.78,13.102883749486752,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 19:36
chain,fwdonly,ablation,fwdonly,15,0.0933333333333333,0.7813333333333333,0.2045561717093224,1.4726673662452272,1.4293872403210857,0.2045561717093224,0.2045561717093224,0.2520212991682575,0.2555526209666837,16.75259963505059,156.85,22.492106217687244,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 17:12
chain,fwdonly,ablation,fwdonly,19,0.08,0.6736666666666666,0.1829703551505347,1.3109255780871216,1.2900750048627527,0.1833185583342167,0.1833185583342167,0.4291573957831009,0.4306397022286017,8.660818470807051,157.24,22.39347995822874,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 17:10
chain,fwdonly,ablation,fwdonly,42,0.0466666666666666,0.6596666666666666,0.1975085536479012,1.2306689129627335,1.2160064810862117,0.1971300054105471,0.1971300054105471,0.4694416879413537,0.4704379955439425,1.3814199144226025,47.25,6.340341386722032,result.json,False,main_comparison_20260824_203442,2026-08-25 12:06
chain,noappcredit,ablation,noappcredit,1,0.1,0.6743333333333333,0.2087845347918452,1.3755352357175068,1.3542877187644389,0.2087411808257449,0.2087411808257449,0.1500138081541269,0.1518245841132707,21.503494979551192,54.03,7.414082563893258,result.json,False,main_comparison_20260824_203442,2026-08-25 05:14
chain,noappcredit,ablation,noappcredit,3,0.14,0.7423333333333333,0.2308042088638837,1.55937955872611,1.50190729699193,0.229965766752632,0.229965766752632,-0.0940958992508598,-0.0891258585169539,66.56417000794711,53.25,7.40607919918786,result.json,False,main_comparison_20260824_203442,2026-08-25 06:07
chain,noappcredit,ablation,noappcredit,5,0.1533333333333333,0.734,0.2026739161100636,1.5160081598345716,1.457846038277583,0.2020616049807012,0.2020616049807012,-0.2182911480251974,-0.2134552562434712,87.17751398592904,56.76,7.942860934580932,result.json,False,ablation_classic_chain_20260819_022418,2026-08-19 05:41
chain,noappcredit,ablation,noappcredit,7,0.0266666666666666,0.6116666666666667,0.1971922972238831,1.2212322847343473,1.209592153390704,0.1970044875612732,0.1970044875612732,0.6061341449175761,0.6067759210336914,1.2833701628938603,55.68,7.544257026676495,result_reeval.json,True,ablation_classic_chain_20260608_114124,2026-06-09 13:37
chain,noappcredit,ablation,noappcredit,9,0.0466666666666666,0.696,0.1839391323864762,1.2909553283276098,1.2763740222616309,0.1835906613470541,0.1835906613470541,0.4617997113598051,0.4627995636454439,1.46087215925672,110.73,15.550117033814692,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 16:21
chain,noappcredit,ablation,noappcredit,11,0.12,0.7386666666666667,0.2078608668114984,1.4685363719824982,1.416820976040032,0.2077196290840383,0.2077196290840383,0.0017249550488637,0.0062349395641401,40.89156338037535,109.91,15.63665389061762,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 16:18
chain,noappcredit,ablation,noappcredit,15,0.0866666666666666,0.7216666666666667,0.206562420650923,1.397646480414107,1.374305400345089,0.2062565695665974,0.2062565695665974,0.2665651327818767,0.2684550233313497,12.340777399356291,228.11,32.84466414343469,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 11:20
chain,noappcredit,ablation,noappcredit,19,0.0666666666666666,0.679,0.18279608292701,1.2994937570070688,1.2813578811195072,0.182500655950139,0.182500655950139,0.3586611212881749,0.3600385001427706,3.6741589618648702,229.92,32.84840990622459,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 11:16
chain,noappcredit,ablation,noappcredit,42,0.0266666666666666,0.6523333333333333,0.1970911319476723,1.2252897427951122,1.211796033467568,0.1965878687222437,0.1965878687222437,0.5564113999819366,0.5572233222846622,1.365469477569262,54.6,7.407580158792214,result.json,False,main_comparison_20260824_203442,2026-08-25 07:02
chain,nocp,ablation,nocp,1,0.0933333333333333,0.668,0.2092018265989394,1.3796262933880443,1.3575085088426748,0.2092003308165383,0.2092003308165383,0.2345552718093176,0.2363772024048903,16.50587081176455,53.97,7.423117569923989,result.json,False,main_comparison_20260824_203442,2026-08-25 07:57
chain,nocp,ablation,nocp,3,0.1733333333333333,0.7486666666666667,0.2290097188382315,1.5871340556670788,1.512156037111386,0.2290097188382315,0.2290097188382315,-0.2670647054048591,-0.2609817579919256,123.54382664776216,53.27,7.416895175978836,result.json,False,main_comparison_20260824_203442,2026-08-25 08:50
chain,nocp,ablation,nocp,5,0.1466666666666666,0.7283333333333334,0.2039572258144776,1.5108157432054616,1.4620540017746,0.2038678638741136,0.2038678638741136,-0.1315858157600884,-0.127404654789787,76.48886948358215,56.07,7.863064774894517,result.json,False,ablation_classic_chain_20260819_022418,2026-08-19 06:37
chain,nocp,ablation,nocp,7,0.02,0.616,0.1970377846704193,1.2303300770140255,1.21809926982605,0.1970377846704193,0.1970377846704193,0.6245686835372692,0.6252188089081249,1.2936662880248868,39.24,5.182187283416587,result_reeval.json,True,ablation_classic_chain_20260608_114124,2026-06-09 17:04
chain,nocp,ablation,nocp,9,0.0733333333333333,0.6933333333333334,0.184309917742657,1.3033814683588372,1.2866855196662077,0.1841537890770938,0.1841537890770938,0.3553113270152451,0.3565828906270499,5.844719288278916,107.09,15.06722638163482,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 18:09
chain,nocp,ablation,nocp,11,0.1466666666666666,0.7353333333333333,0.2082534882708752,1.470399090855192,1.4209779575337165,0.2077498364654373,0.2077498364654373,-0.0411929211990228,-0.0368895146814148,76.4893903898729,105.16,14.961024547827082,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 18:04
chain,nocp,ablation,nocp,15,0.1,0.7276666666666667,0.2052527579173333,1.4105540571616082,1.3785172998247743,0.2052527579173333,0.2052527579173333,0.22370921575213,0.2263616311285563,21.620578462905733,191.84,27.549628805052137,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 14:34
chain,nocp,ablation,nocp,19,0.0733333333333333,0.672,0.1823606014280029,1.313450453542103,1.2947030657837175,0.1821693375022771,0.1821693375022771,0.3944404655232675,0.3958201507996904,5.805035969232456,193.73,27.65430129014808,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 14:31
chain,nocp,ablation,nocp,42,0.0466666666666666,0.6586666666666666,0.1963176984145722,1.24126973280431,1.2251342946385175,0.1967117755071947,0.1967117755071947,0.5287786796002937,0.5297916338021126,1.3802461219614233,54.56,7.410330012939729,result.json,False,main_comparison_20260824_203442,2026-08-25 09:45
chain,noguidece,ablation,noguidece,1,0.1266666666666666,0.68,0.208203186226102,1.3770464259860298,1.3547159027625295,0.208063006483352,0.208063006483352,0.0177518660594425,0.0196986119583676,48.58083504360391,53.74,7.420718889810956,result.json,False,main_comparison_20260824_203442,2026-08-24 23:49
chain,noguidece,ablation,noguidece,3,0.1666666666666666,0.7473333333333333,0.2288946037963497,1.5780809900504966,1.5054950732343375,0.2288946037963497,0.2288946037963497,-0.224817551257396,-0.2187988442707094,110.72389702456708,52.8,7.416046173811747,result.json,False,main_comparison_20260824_203442,2026-08-25 00:42
chain,noguidece,ablation,noguidece,5,0.1333333333333333,0.7406666666666667,0.2034339816342087,1.5097442356181148,1.4659457727866176,0.2032953854415607,0.2032953854415607,-0.0454162426561855,-0.0416038449704555,57.28925821010976,90.76,13.098228002664362,result.json,False,main_comparison_20260821_155715,2026-08-21 19:14
chain,noguidece,ablation,noguidece,7,0.04,0.6296666666666667,0.1962744334119776,1.233737358418409,1.2203306263520768,0.1962744334119776,0.1962744334119776,0.5586259083907849,0.559429713402023,1.3213958168703577,75.86,10.490378931506292,result.json,False,main_comparison_20260821_155715,2026-08-21 20:30
chain,noguidece,ablation,noguidece,9,0.0733333333333333,0.6926666666666667,0.1835227646958636,1.3013602483352744,1.2812364802350031,0.1835227646958636,0.1835227646958636,0.3924579527935984,0.3939416014954606,5.843446450620464,111.01,15.740821842001708,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 12:38
chain,noguidece,ablation,noguidece,11,0.12,0.7393333333333333,0.2090868678575965,1.4717737506231123,1.422462017156849,0.2095265738749886,0.2095265738749886,-0.0426602202373221,-0.0383668435287882,40.89179690480111,109.97,15.720907732061423,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 12:36
chain,noguidece,ablation,noguidece,15,0.1133333333333333,0.73,0.2052162520129869,1.4090456048246456,1.376436483859716,0.2052162520129869,0.2052162520129869,0.1390749392950269,0.1418626432385311,33.7357691258193,162.03,23.345291240903784,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 04:19
chain,noguidece,ablation,noguidece,19,0.1,0.6893333333333334,0.1813215208867502,1.3316715797350274,1.3025486041756564,0.1813215208867502,0.1813215208867502,0.2356720243086133,0.2380693151260861,21.525567034046844,160.19,23.23726834165792,result.json,False,ablation_classic_chain_20260819_224120,2026-08-20 04:18
chain,noguidece,ablation,noguidece,42,0.0466666666666666,0.668,0.1964876045275803,1.244404762395554,1.228668254406695,0.1964876045275803,0.1964876045275803,0.5273916638388781,0.5283816029467863,1.3993028793483204,54.36,7.386325492186946,result.json,False,main_comparison_20260824_203442,2026-08-25 01:37
chain,noshield,ablation,noshield,1,0.1266666666666666,0.6936666666666667,0.2097269525650936,1.3899471566011763,1.3659591344382422,0.2094954116851727,0.2094954116851727,0.0156773828165452,0.0177687756845359,48.61302572396546,53.6,7.393573527411109,result.json,False,main_comparison_20260824_203442,2026-08-25 02:31
chain,noshield,ablation,noshield,3,0.1666666666666666,0.7536666666666667,0.2334457381183098,1.591206236889271,1.5175961163469192,0.2332500461790158,0.2332500461790158,-0.2260464014394779,-0.2199461622937802,110.74320487295132,52.83,7.41326624919592,result.json,False,main_comparison_20260824_203442,2026-08-25 03:24
chain,noshield,ablation,noshield,5,0.14,0.755,0.2064407138618091,1.5020075941892883,1.4732856197000743,0.2064130353918569,0.2064130353918569,-0.0472875059431443,-0.0447879928105941,66.57184687417245,56.57,7.991959635248513,result.json,False,main_comparison_20260821_155715,2026-08-21 21:27
chain,noshield,ablation,noshield,7,0.0266666666666666,0.6316666666666667,0.1992155611802393,1.2324874954709035,1.218188996014395,0.198836836856724,0.198836836856724,0.58256084986212,0.5833840231615657,1.3259591091028822,58.66,8.050335889328485,result.json,False,main_comparison_20260821_155715,2026-08-21 22:27
chain,noshield,ablation,noshield,9,0.08,0.7156666666666667,0.1856672535439827,1.3227096811189825,1.299112261221532,0.1856565717989561,0.1856565717989561,0.3512543004694811,0.3530570047261415,8.747361366786627,110.94,15.726320287416817,result.json,False,ablation_classic_chain_20260819_085455,2026-08-19 14:30
chain,noshield,ablation,noshield,11,0.14,0.77,0.2065152517727558,1.5093585224678705,1.454970590708487,0.2068619917171889,0.2068619917171889,-0.0063850277319163,-0.0016419794442271,66.601667149234,109.85,15.697015790766953,result.json,False,ablation_classic_chain_20260819_085504,2026-08-19 14:27
chain,noshield,ablation,noshield,15,0.1133333333333333,0.7383333333333333,0.2070918694983904,1.415962939883528,1.3833036852401557,0.2070918694983904,0.2070918694983904,0.1372570622475125,0.1400504949631064,33.754258966067376,189.93,27.428844990108846,result.json,False,ablation_classic_chain_20260819_224110,2026-08-20 07:31
