algo,label,kind,dag,n,AppTO_mean_pct,AppTO_std_pct,D_succ_mean,D_succ_std,D_all_mean,D_all_std,E_mean,E_std,Util_succ_mean,Util_succ_std,Util_all_mean,Util_all_std
main3,CPGAPPO,research,chain,5,7.333333333333333,6.863753427324667,1.3804382377910884,0.15885971331321022,1.3564776999026311,0.136546454039613,0.20795560696992682,0.013996146035136913,0.31463204252781257,0.35569293073230884,0.3166208934597621,0.3536723591301638
main3,CPGAPPO,research,default,5,8.666666666666668,5.537749241945384,1.221597341062698,0.11936176493779752,1.1945326920110713,0.10232529080900042,0.20571972845185837,0.012098104352796723,0.27005320308850883,0.3369169090662867,0.2722230250988761,0.3352358593214984
main3,CPGAPPO,research,wide,5,2.6666666666666665,2.9439202887759492,0.43136193620485147,0.036087825689911736,0.4393676298941324,0.04653000827854613,0.12589163831230518,0.0074035349064307965,0.6690002768375176,0.09295304122616355,0.6690002768375176,0.09295304122616355
noguidece,noguidece,ablation,chain,5,10.266666666666666,5.629288488689213,1.388602754493721,0.154504984348406,1.3550311259084513,0.13139002775851505,0.2066587619192437,0.0134024609637823,0.1667071288751048,0.3550243772342385,0.1694214478132024,0.3530660126512062
noguidece,noguidece,ablation,default,5,10.4,5.688194402053743,1.2212931176814226,0.12021858903673048,1.194130202262687,0.10724668928354868,0.20525593943938175,0.012883165160658488,0.17945487018943668,0.3715228447578662,0.18161593423795355,0.3703037587722826
noguidece,noguidece,ablation,wide,5,2.933333333333333,2.6915505650915135,0.43865578772895064,0.03595808352734899,0.44587383695956656,0.04249720685480542,0.12559904935111352,0.007729498053490877,0.6544822716558125,0.08762900036229124,0.6544822716558125,0.08762900036229124
noshield,noshield,ablation,chain,5,10.4,5.8423739467217715,1.3935159947058897,0.15559638897627479,1.3620818242604351,0.13539266950746673,0.2093775888996491,0.014312589207967867,0.15813406794726653,0.34816018975679536,0.16066285098701236,0.3463970553398542
noshield,noshield,ablation,default,5,10.8,5.444671197092111,1.2403944976787689,0.1247330654687074,1.2053455333844423,0.10306043169698241,0.20687202982332967,0.012114962765970645,0.14685632038237348,0.3340054617390058,0.14970211406667627,0.33232499506979696
noshield,noshield,ablation,wide,5,4.666666666666667,5.333333333333334,0.44327008598042134,0.038846171203420966,0.4487879725141416,0.04346644010352567,0.12611915210671365,0.00671169438580144,0.5684466891587175,0.2515474708506078,0.5684466891587175,0.2515474708506078
noappcredit,noappcredit,ablation,chain,5,8.933333333333334,6.047956496022254,1.3794889963615298,0.15798443374423304,1.347085848178445,0.13555185145759635,0.20730921778746964,0.013986051511274798,0.20003446115551649,0.37280441441016376,0.20264854253423983,0.37077619924406574
noappcredit,noappcredit,ablation,default,5,9.733333333333333,5.992588014465127,1.2185355292352524,0.12937693284518464,1.185223804850927,0.1054666524893491,0.20577670696190403,0.012038962372514703,0.15903580737966833,0.38446458656271054,0.16174678630350986,0.3826713818195228
noappcredit,noappcredit,ablation,wide,5,3.2,4.407065034943576,0.4367129237060502,0.044758696127104564,0.4388136383174426,0.048654684052335126,0.12516370221640652,0.006811507559159726,0.6242732773282665,0.16758986829876182,0.6242732773282665,0.16758986829876182
nocp,nocp,ablation,chain,5,9.6,6.473879139365449,1.389835180415784,0.15904475341698757,1.3549904224386458,0.1339512810741958,0.20710485086732805,0.01334013278950915,0.1978504227563866,0.3929451433873048,0.200600246466683,0.3907022669918104
nocp,nocp,ablation,default,5,10.8,5.645056834671079,1.238800307951423,0.11302246232302147,1.2039050239443279,0.09228453611621204,0.20467500113408335,0.01173922881470213,0.10827104973962873,0.4008534496871088,0.1110431102071642,0.3991581398361455
nocp,nocp,ablation,wide,5,4.666666666666667,5.228129047119374,0.43329289533529786,0.025098439235806375,0.4464315403242872,0.04256286327484781,0.1246513111437324,0.006314715279333781,0.5843930029213602,0.23265587061226833,0.5843930029213602,0.23265587061226833
fwdonly,fwdonly,ablation,chain,5,7.466666666666668,4.279148409568323,1.3861973999505983,0.1614527874709762,1.3618047272907914,0.14611943393933682,0.20971318436163222,0.017245632398094155,0.3482084492585017,0.25478265274542783,0.3501164586153612,0.25298427756615577
fwdonly,fwdonly,ablation,default,5,9.2,5.781195570314346,1.2192706979512415,0.12246117686919669,1.1892845406011,0.1029837048058839,0.20579214913173222,0.012494853977497453,0.25311207455659357,0.3169433030849449,0.25559654252468256,0.3151348569411714
fwdonly,fwdonly,ablation,wide,5,3.9999999999999996,4.690415759823429,0.4330426359085324,0.03980735131848893,0.4401881004961294,0.04762761371016235,0.1251251070547865,0.006861646720724867,0.589901724914526,0.19887423374732519,0.589901724914526,0.19887423374732519
alloff,alloff,ablation,chain,5,11.6,5.785038173311103,1.3960003570660313,0.15416839302033242,1.3586219607084267,0.12954873906050202,0.21046890962289616,0.01252956734880534,0.09988845404344898,0.367000657935198,0.10287504172225596,0.3650000489531841
alloff,alloff,ablation,default,5,12.133333333333333,6.331578704311343,1.233563421684336,0.11455096802166705,1.1963609249794402,0.09344788325487373,0.2098105172416295,0.01062541146017848,-0.008726605004502374,0.38885222149488086,-0.005835864157692694,0.38726283654188487
alloff,alloff,ablation,wide,5,4.3999999999999995,4.935134806219132,0.44899933323183144,0.02951682040379356,0.4518506172060717,0.0391545911324172,0.1276297661666969,0.006690044966540441,0.5218440750969711,0.2926444412101186,0.5218440750969711,0.2926444412101186
