algo,label,kind,dag,n,AppTO_mean_pct,AppTO_std_pct,D_succ_mean,D_succ_std,D_all_mean,D_all_std,E_mean,E_std,Util_succ_mean,Util_succ_std,Util_all_mean,Util_all_std
TransEdgeStyle,TransEdgeStyle,ext_rl,default,5,14.266666666666666,2.3380903889000235,1.248840409884615,0.11568465156622325,1.2101362714326156,0.0945312471226033,0.20991347422813175,0.002974593949961561,-0.056873510287451426,0.39720550521542175,-0.05393197399216054,0.39567324316991026
TransEdgeStyle,TransEdgeStyle,ext_rl,wide,5,8.0,4.21637021355784,0.4433325199885772,0.023698481563721587,0.45707490133395073,0.03864874146451956,0.13744730604175676,0.009074438202631612,0.5137585765157529,0.24849129327305228,0.5137585765157529,0.24849129327305228
GATDQN,GATDQN,ext_rl,chain,5,20.93333333333333,7.342418614537795,1.423001642780481,0.12541798463838788,1.4241798499497829,0.1106349222606877,0.23086473457201917,0.014397193823383612,-0.24730362125321492,0.40284879396666273,-0.24734390345392354,0.4032702462777994
GATDQN,GATDQN,ext_rl,default,5,22.133333333333333,10.66041483453831,1.2589728754619014,0.1163201870531256,1.240146263615523,0.09764928802399336,0.22480190362186786,0.028426866877727105,-0.3217606708682158,0.3324713171004169,-0.32046310524864824,0.33269393404170766
GATDQN,GATDQN,ext_rl,wide,5,13.733333333333336,10.312882989521192,0.4077282714440704,0.029612052968137393,0.4560174293889516,0.0403990763212422,0.1455917357629254,0.009637057578897235,0.2689084785651413,0.5044020610155514,0.2689084785651413,0.5044020610155514
PPO,PPO,ext_rl,chain,5,30.533333333333335,32.72240143320101,1.0975173201596025,0.28929646077240684,1.4672589947718206,0.12459038038447103,0.3275355910792589,0.016292292812356095,-0.6080813493336461,0.1125938427474247,-0.6243151137649159,0.12123441081790336
PPO,PPO,ext_rl,default,5,41.73333333333333,36.537955911931114,1.0515822968399253,0.1865537624948692,1.3767610217814377,0.047901664429126405,0.31665943436921906,0.01889446118557437,-0.6909551940546996,0.047649097089250525,-0.7052423593386226,0.048208064346474705
PPO,PPO,ext_rl,wide,5,27.73333333333333,23.072831546118383,0.3725034586022832,0.05484740968861763,0.5124106343456774,0.016487397932512436,0.17988496449206523,0.007245648085864556,-0.5614324026549014,0.19250395724669464,-0.5614324026549014,0.19250395724669464
HybridPSOGA,HybridPSOGA,heuristic,chain,5,9.066666666666666,10.807404868885037,1.3619640847981607,0.2793496809631618,1.3192321635082838,0.22876156232614006,0.2216573135420477,0.014123450612731509,0.32749046123350467,0.5058744350368112,0.3293540120030928,0.5035528771009671
HybridPSOGA,HybridPSOGA,heuristic,default,5,19.999999999999996,26.24245923435276,1.2772173767189918,0.19271912229724344,1.2460440744054937,0.16359970224712644,0.2191317950104526,0.010949529498514025,0.15698295798873824,0.6489837080986465,0.15807654483091332,0.6480157134586075
HybridPSOGA,HybridPSOGA,heuristic,wide,5,21.066666666666663,20.442874335844042,0.3355271310053639,0.03946760950126816,0.4651474306063462,0.03793846389578153,0.12904348110071268,0.0063150068252672015,0.18640561840543962,0.6179057447205825,0.18640561840543962,0.6179057447205825
Genetic,Genetic,heuristic,chain,5,32.26666666666667,17.842520997761373,1.4354799280960333,0.1977316965642543,1.4218086236863798,0.1716284535421362,0.2747784084204589,0.018156431630416074,-0.08619922038894105,0.6392931373096872,-0.08553438382660469,0.6389165569627492
Genetic,Genetic,heuristic,default,5,23.600000000000005,16.211107303327555,1.3299143380026017,0.12173398690167167,1.2939185444004442,0.10932585830239538,0.2706715692711736,0.01400845420485764,-0.0866094110638939,0.5895575109076403,-0.08432714631119594,0.5886854477423605
Genetic,Genetic,heuristic,wide,5,17.066666666666666,7.417696557707265,0.36739471416644004,0.03295231165782211,0.4657221545489486,0.02950986787220591,0.15828247862951023,0.010589936902751501,-0.010968572757296041,0.3196879659945237,-0.010968572757296041,0.3196879659945237
Greedy,Greedy,heuristic,chain,5,64.13333333333334,25.409534518452798,1.4352883844376705,0.19149982563206952,1.4892268757418052,0.11981305381748618,0.1827100618668575,0.03129869298228322,-0.4135572577126364,0.37136445926666056,-0.4170765950336065,0.3712079604509402
Greedy,Greedy,heuristic,default,5,70.66666666666667,21.25506475590648,1.2591454903257344,0.08691202474119628,1.380527266977305,0.051028863234498206,0.16949155310428343,0.030271573125772226,-0.6245742311970102,0.10755375532800222,-0.630615342836807,0.10773590789623397
Greedy,Greedy,heuristic,wide,5,47.33333333333334,12.762793146051099,0.4679080086503804,0.3535253719991145,0.48035225243446983,0.03122586383307236,0.09959566066513531,0.013562301493151659,-0.4849399015969421,0.10928524603487881,-0.4807499276522164,0.10189149270446582
Edge-only,Edge-only,heuristic,chain,5,58.400000000000006,37.63154704942827,1.3181481392764849,0.2140189799960665,1.5054519931752757,0.13078567653242493,0.2608435452268888,0.04865435993074698,-0.18246466216241256,0.6465171346186667,-0.18914291730802027,0.6559350815108251
Edge-only,Edge-only,heuristic,default,5,70.26666666666668,30.219934553940455,1.2810130454188118,0.1711854633868358,1.4071278562973544,0.03591659934977283,0.2414984527798599,0.04578624848396736,-0.4517948313089349,0.3489854113439599,-0.4557644208991828,0.3573594955902863
Edge-only,Edge-only,heuristic,wide,5,50.0,12.649110640673515,0.4746536525961572,0.3507373068284832,0.4888203321817651,0.025946847160733394,0.1365427953215645,0.019565869436460825,-0.5006952510201585,0.10690509354035013,-0.4966252870164832,0.09967907121598571
Local-only,Local-only,heuristic,chain,5,100.0,0.0,1.1,0.0,1.6264800000000013,0.00877640776931716,0.4170637683295901,0.016342484179366682,-0.78046913749435,0.005005606134705884,-0.7977781339699053,0.00489357871303526
Local-only,Local-only,heuristic,default,5,100.0,0.0,1.1,0.0,1.438733333333333,0.005708862505886592,0.4051760210822063,0.01789504066730911,-0.7772093794397449,0.007093015062314732,-0.7886388743915378,0.006778640092984423
Local-only,Local-only,heuristic,wide,5,95.46666666666667,2.6415483674878604,1.1,0.0,0.5267333333333328,0.01052246274510958,0.25393175547343805,0.012455517909582157,-0.724963856876675,0.026722711492943262,-0.7080132108643289,0.028085122856024037
