dag,algo,label,n,AppTO_mean_pct,Util_all_mean,main3_AppTO_mean_pct,main3_Util_all_mean,delta_AppTO_pct,delta_Util_all,flag
chain,main3,CPGAPPO,3,7.555555555555555,0.3086520719616734,7.555555555555555,0.3086520719616734,0.0,0.0,
chain,noguidece,noguidece,3,11.333333333333334,0.10976045687814816,7.555555555555555,0.3086520719616734,3.7777777777777786,-0.1988916150835252,
chain,noshield,noshield,3,11.777777777777777,0.08823940819469672,7.555555555555555,0.3086520719616734,4.222222222222221,-0.22041266376697666,
chain,noappcredit,noappcredit,3,8.88888888888889,0.206640682626993,7.555555555555555,0.3086520719616734,1.3333333333333335,-0.10201138933468037,
chain,nocp,nocp,3,10.444444444444445,0.1683956927383591,7.555555555555555,0.3086520719616734,2.8888888888888893,-0.14025637922331427,
chain,fwdonly,fwdonly,3,8.222222222222223,0.3024812735658074,7.555555555555555,0.3086520719616734,0.6666666666666667,-0.006170798395865984,
chain,alloff,alloff,3,12.444444444444443,0.0755994499785152,7.555555555555555,0.3086520719616734,4.8888888888888875,-0.23305262198315818,
default,main3,CPGAPPO,3,8.88888888888889,0.2487913246042869,8.88888888888889,0.2487913246042869,0.0,0.0,
default,noguidece,noguidece,3,10.222222222222223,0.21328291586781553,8.88888888888889,0.2487913246042869,1.3333333333333335,-0.035508408736471375,
default,noshield,noshield,3,10.666666666666664,0.17963348362543127,8.88888888888889,0.2487913246042869,1.7777777777777755,-0.06915784097885563,
default,noappcredit,noappcredit,3,10.0,0.18837777015439205,8.88888888888889,0.2487913246042869,1.1111111111111098,-0.06041355444989485,
default,nocp,nocp,3,11.555555555555557,0.08394914567123694,8.88888888888889,0.2487913246042869,2.6666666666666687,-0.16484217893304998,
default,fwdonly,fwdonly,3,9.333333333333332,0.221038459996697,8.88888888888889,0.2487913246042869,0.44444444444444314,-0.02775286460758991,
default,alloff,alloff,3,13.111111111111109,-0.05743963963144092,8.88888888888889,0.2487913246042869,4.2222222222222205,-0.3062309642357278,
wide,main3,CPGAPPO,3,2.2222222222222223,0.6965842148772238,2.2222222222222223,0.6965842148772238,0.0,0.0,
wide,noguidece,noguidece,3,2.666666666666667,0.6717169530307511,2.2222222222222223,0.6965842148772238,0.44444444444444453,-0.0248672618464727,
wide,noshield,noshield,3,3.3333333333333335,0.6569633264677258,2.2222222222222223,0.6965842148772238,1.111111111111111,-0.039620888409497956,
wide,noappcredit,noappcredit,3,2.0,0.679878751602985,2.2222222222222223,0.6965842148772238,-0.22222222222222227,-0.01670546327423872,
wide,nocp,nocp,3,3.3333333333333335,0.6717501384687566,2.2222222222222223,0.6965842148772238,1.111111111111111,-0.02483407640846713,
wide,fwdonly,fwdonly,3,2.8888888888888893,0.6490626614567709,2.2222222222222223,0.6965842148772238,0.6666666666666667,-0.04752155342045283,
wide,alloff,alloff,3,3.3333333333333335,0.6086803141472013,2.2222222222222223,0.6965842148772238,1.111111111111111,-0.08790390073002252,
