dag,reviewer,param_key,param_val,is_default,n_seeds,AppTO_mean_pct,AppTO_std_pct,D_all_mean,D_all_std,D_succ_mean,D_succ_std,Util_all_mean,Util_all_std,Util_succ_mean,Util_succ_std
chain,R1-6,LAMBDA_GUIDE,0,False,5,10.266666666666666,6.06630035524124,1.3578899809928555,0.13550800648543154,1.3900608190670076,0.15658723766361166,0.1644114093105599,0.3130517686131019,0.1618073447910385,0.3149892783616195
chain,R1-6,LAMBDA_GUIDE,0p05,False,5,9.466666666666667,6.080935600528735,1.3516932954054275,0.13664452303475624,1.3823108404609408,0.16011347374622553,0.25290019480636733,0.33649853465471463,0.2504039179536662,0.33856623200191965
chain,R1-6,LAMBDA_GUIDE,0p1,False,5,7.066666666666667,5.648992043817295,1.3492337035662902,0.13522923099281184,1.374303135932724,0.1531283022522607,0.34605001750895514,0.2678272723494521,0.3440172844897132,0.2693670956631346
chain,R1-6,LAMBDA_GUIDE,0p2,False,5,8.133333333333333,7.1864069217129956,1.350462553333218,0.13674738963191663,1.3823302255401775,0.16131646429959293,0.276856355055714,0.3715063520025611,0.27428497107617567,0.37373695020084124
chain,R1-6,LAMBDA_GUIDE,0p4,False,5,9.73333333333333,6.047956496022254,1.3521990551830738,0.13728714518721544,1.3840001040554764,0.16042519960757687,0.18787902398894507,0.43636304615115223,0.18543658620132045,0.4382708572028927
default,R1-6,LAMBDA_GUIDE,0p05,False,5,9.466666666666667,5.194013648208654,1.1909662791582787,0.10293064201166949,1.2235405497058305,0.1261385978156576,0.2439318071844289,0.3170662889570632,0.24124682475090936,0.3188163856572477
default,R1-6,LAMBDA_GUIDE,0p1,False,5,8.933333333333334,5.861361237422204,1.1882243095714995,0.10280189191130391,1.2176851837061626,0.12234536257878374,0.23465471715125563,0.3935151708747182,0.23230162658333775,0.3951824137189969
default,R1-6,LAMBDA_GUIDE,0p2,False,5,9.6,6.102822662051096,1.1895094819797056,0.10523053753843645,1.2195487906832807,0.12454629932693846,0.21376610052935002,0.3591195510353807,0.211320415627074,0.3607455819948278
default,R1-6,LAMBDA_GUIDE,0p4,False,5,10.4,6.193186219996583,1.1856339634874602,0.10265389366440276,1.2202766420292757,0.12585008129754136,0.18383012651087288,0.38348384411484815,0.18104269758375038,0.3853869352724795
default,R1-6,LAMBDA_GUIDE,0,False,5,11.6,6.084588911522472,1.1924944455619872,0.10517109577678277,1.2272581185865157,0.128454460072564,0.10344982991223653,0.4123707716344742,0.1006987318234585,0.41432718693147785
wide,R1-6,LAMBDA_GUIDE,0p05,False,5,2.6666666666666665,2.581988897471611,0.4425295515409318,0.042639879820572754,0.43951152270835225,0.0361965716444502,0.6625930106927892,0.07965672876958696,0.6625930106927892,0.07965672876958696
wide,R1-6,LAMBDA_GUIDE,0p1,False,5,2.6666666666666665,2.9439202887759492,0.43914472926081594,0.0444891232738461,0.4317409588318507,0.03207661831194093,0.6636480135934507,0.08956305028923274,0.6636480135934507,0.08956305028923274
wide,R1-6,LAMBDA_GUIDE,0p2,False,5,3.3333333333333335,5.120763831912405,0.4411461133254651,0.04629471613792518,0.4386299496837678,0.04021437143568398,0.5804339276710978,0.2345517536280334,0.5804339276710978,0.2345517536280334
wide,R1-6,LAMBDA_GUIDE,0p4,False,5,3.733333333333333,4.889898885571266,0.44157769955292947,0.04560078886626474,0.43298926402222493,0.03469088959537096,0.5946198972502573,0.19787921266941907,0.5946198972502573,0.19787921266941907
wide,R1-6,LAMBDA_GUIDE,0,False,5,2.6666666666666665,2.2607766610417563,0.4454652717147532,0.04115099399909527,0.43578784960171035,0.028779025547744367,0.6490663602705139,0.09217306818981269,0.6490663602705139,0.09217306818981269
default,R1-6,BONUS_TO,-14,False,5,8.266666666666666,5.262023269512297,1.1943126786135416,0.10993168390315487,1.2181229392134743,0.12447043683663962,0.35600052408760724,0.259127936164884,0.3541048967416282,0.26046945295295354
default,R1-6,BONUS_TO,-10,False,5,8.666666666666668,7.302967433402216,1.185586707009777,0.10110576803803759,1.2127842923922898,0.12368839018547154,0.2422876754209859,0.37259182406175084,0.2400338545286007,0.374545558217235
default,R1-6,BONUS_TO,-7,True,5,9.066666666666666,5.428320796219275,1.1869363788661693,0.10071032602494559,1.2163404163149731,0.1207464941863102,0.27509048537424985,0.2866025596642907,0.2726723429381665,0.28821210792898205
default,R1-6,BONUS_TO,-4,False,5,7.866666666666666,4.628414655389275,1.1963845861393376,0.10607626616952215,1.2158925361864141,0.11475756662732502,0.37990260423140204,0.21332969673278437,0.3783977300407277,0.21419565896737863
default,R1-6,BONUS_TO,-2,False,5,7.6,5.046450898073484,1.1888093757588285,0.1063802608650532,1.2148106192359176,0.1207584797470289,0.33256631271109616,0.27293711373539875,0.3305113629356003,0.274072458462112
default,R1-6,W_E,0p025,False,5,8.666666666666668,6.236095644623236,1.1890820078250819,0.10270007665171643,1.2162321777559628,0.11994151976316789,0.2888758729265876,0.3480871435732612,0.2866896894794576,0.34962109705951666
