algo,label,dag,seed,in_paper_seeds,app_timeout_rate,delay_all,delay_succ,UtilityScore_all,UtilityScore_succ,_Util_std,_Util_maxmin,_AppTO_std,_D_all_std
main3,CPGAPPO,chain,1,True,0.08,1.366494791892745,1.3849935436686927,0.35180779061706585,0.35039339738508535,,,,
main3,CPGAPPO,chain,3,True,0.14666666666666667,1.5080683997664786,1.565145332999731,-0.08906366165288573,-0.09399958787672849,,,,
main3,CPGAPPO,chain,5,False,0.13333333333333333,1.4713037382745473,1.5085317923319828,0.001383615793179546,-0.0018630137897795592,,,,
main3,CPGAPPO,chain,7,False,0.006666666666666667,1.210953128149029,1.2171335860729176,0.6557646356206108,0.6554573154672673,,,,
main3,CPGAPPO,chain,42,True,0.0,1.2255684414303558,1.2263869338821174,0.66321208692084,0.6631721014532185,,,,
main3,CPGAPPO,default,1,True,0.08,1.2441911896759976,1.2672975265492281,0.2897059822408077,0.28785894435463916,,,,
main3,CPGAPPO,default,3,True,0.14666666666666667,1.3052789668470597,1.3619124571298178,-0.10909265270957784,-0.1139701725233823,,,,
main3,CPGAPPO,default,5,False,0.14,1.252336058506682,1.2852135191260712,-0.020646185198489587,-0.02351200590403239,,,,
main3,CPGAPPO,default,7,False,0.02666666666666667,1.086553708245282,1.0986695957653556,0.6353873368800093,0.6347568705061924,,,,
main3,CPGAPPO,default,42,True,0.04,1.0843035367803349,1.0948936067430164,0.5657606442816309,0.5651323790091273,,,,
main3,CPGAPPO,wide,1,True,0.0,0.39760290027862916,0.3942669383084835,0.7324030839041679,0.7324030839041679,,,,
main3,CPGAPPO,wide,3,True,0.04666666666666667,0.46700506399563757,0.4777075959934563,0.6341363296806976,0.6341363296806976,,,,
main3,CPGAPPO,wide,5,False,0.06666666666666667,0.5060032289205577,0.4587600903767441,0.5204733432700753,0.5204733432700753,,,,
main3,CPGAPPO,wide,7,False,0.0,0.40020645966834123,0.40156715567554035,0.7347753962858411,0.7347753962858411,,,,
main3,CPGAPPO,wide,42,True,0.02,0.42602049660749663,0.4245079006700329,0.7232132310468059,0.7232132310468059,,,,
main3,CPGAPPO,chain,"MEAN(1,3,5,7,42)",,0.07333333333333333,1.3564776999026311,1.3804382377910882,0.3166208934597621,0.3146320425278126,,,,
main3,CPGAPPO,default,"MEAN(1,3,5,7,42)",,0.08666666666666667,1.1945326920110713,1.221597341062698,0.2722230250988761,0.27005320308850883,,,,
main3,CPGAPPO,wide,"MEAN(1,3,5,7,42)",,0.02666666666666667,0.43936762989413247,0.4313619362048514,0.6690002768375175,0.6690002768375175,,,,
